,dataset,start_age,end_age,sex,tissue,subtissue,gene,fold_change_log2,expression_at_start_age,expression_at_end_age,expression_max_std_dev,p_value
0,droplet,3m,18m,female,Spleen,nan,Sostdc1,8.178520202636719,9.963081026853615e-08,2.8865419153589755e-05,0.00033569143852218986,9.016619576494955e-06
1,droplet,3m,18m,female,Mammary_Gland,nan,Ins2,6.817116737365723,9.764392672195754e-08,1.1010481102857739e-05,7.268515764735639e-05,7.418035366604974e-06
2,droplet,3m,18m,female,Marrow,nan,Fosb,-5.639099597930908,0.00010712548100855201,2.1495843611774035e-06,0.00016901698836591095,2.798349974658001e-253
3,droplet,3m,18m,female,Marrow,nan,Cxcl2,-5.278584957122803,0.00011454340710770339,2.950920361399767e-06,0.000409073632908985,2.5814255661128384e-51
4,droplet,3m,18m,female,Mammary_Gland,nan,Arg1,5.094876766204834,3.197090734374797e-07,1.0926148206635844e-05,5.4693882702849805e-05,1.0577389322467365e-08
5,droplet,3m,18m,female,Mammary_Gland,nan,Abp1,4.718061447143555,1.6538338059035596e-06,4.352814721642062e-05,0.000290359283098951,1.5837705516766734e-09
6,droplet,3m,18m,male,Kidney,nan,Cyp4a14,4.507895469665527,1.2679676046900568e-06,2.8848300644312985e-05,0.00012586738739628345,2.7168486351153465e-07
7,droplet,3m,18m,female,Mammary_Gland,nan,Fam5c,4.2254109382629395,5.793551167698752e-07,1.0837297850230243e-05,6.61660815239884e-05,9.817704687652897e-06
8,droplet,3m,18m,female,Heart_and_Aorta,nan,Srp54b,-4.183844089508057,2.3986231099115685e-05,1.3197728776503936e-06,6.173163274070248e-05,8.798761871018709e-10
9,droplet,3m,18m,female,Mammary_Gland,nan,Cldn8,4.156233787536621,6.471597657764505e-07,1.1538869330252055e-05,5.083048381493427e-05,2.838248786180088e-10
10,droplet,3m,18m,female,Mammary_Gland,nan,Alox12e,4.127624988555908,7.208764145616442e-07,1.260086446563946e-05,7.700912829022855e-05,1.2113778823800145e-06
11,droplet,3m,18m,female,Mammary_Gland,nan,Mid1,3.935560941696167,1.8056863382298616e-06,2.7628953830571845e-05,8.344543311977759e-05,3.306594235868577e-39
12,droplet,3m,18m,female,Mammary_Gland,nan,Foxq1,3.9336118698120117,1.2942739431309747e-06,1.9777058696490712e-05,9.317998046753928e-05,2.444814023524761e-15
13,droplet,3m,18m,female,Mammary_Gland,nan,Cxcl15,3.814776659011841,1.0277250112267211e-05,0.0001446236128685996,0.00039827817818149924,8.232652516540884e-68
14,droplet,3m,18m,female,Marrow,nan,Gm4759,-3.716923236846924,1.0182860023633111e-05,7.74397335590038e-07,4.852177880820818e-05,1.4666782915998559e-07
15,droplet,3m,18m,female,Spleen,nan,C130026I21Rik,3.6765151023864746,6.451075023505837e-06,8.248471567640081e-05,0.0002484394353814423,2.0501521073407588e-106
16,droplet,3m,18m,female,Spleen,nan,Dapl1,-3.665935754776001,0.00013809261145070195,1.0879622095671948e-05,0.0004657865792978555,8.909356027783609e-68
17,droplet,3m,18m,female,Mammary_Gland,nan,Dpep2,3.5920162200927734,2.357254288654076e-06,2.842570211214479e-05,0.0001118450309149921,2.157105689793591e-24
18,droplet,3m,18m,female,Mammary_Gland,nan,Tmem88b,3.5792958736419678,1.2077782685082639e-06,1.4436534002015833e-05,7.550929149147123e-05,1.907472139102593e-09
19,droplet,3m,18m,female,Mammary_Gland,nan,Sprr1a,3.47694730758667,7.138229648262495e-06,7.947965787025169e-05,0.0004259021079633385,3.838977961541028e-14
20,droplet,3m,18m,male,Kidney,nan,Rpl26,3.446394681930542,5.268532731861342e-06,5.74325276829768e-05,0.00010520967043703422,2.100482765907047e-46
21,droplet,3m,18m,female,Heart_and_Aorta,nan,Elk4,-3.3830370903015137,2.1615902369376272e-05,2.071941935355426e-06,6.240287621039897e-05,6.7292595726799485e-06
22,droplet,3m,18m,female,Lung,nan,Dapl1,-3.3713927268981934,5.2715771744260564e-05,5.093897016195115e-06,0.00024364545242860913,3.9633880373347676e-07
23,droplet,3m,18m,female,Mammary_Gland,nan,Abcc8,3.3274221420288086,1.082590074474865e-06,1.0867215678445064e-05,5.017540024709888e-05,1.2864194814314178e-07
24,droplet,3m,18m,female,Mammary_Gland,nan,Foxa1,3.2570595741271973,3.0424837405007565e-06,2.908713577198796e-05,8.867772703524679e-05,5.8912683059171105e-36
25,droplet,3m,18m,female,Marrow,nan,Ccl2,-3.2182765007019043,2.4644044970045798e-05,2.647976543812547e-06,0.00012952259567100555,6.480395006862462e-14
26,droplet,3m,18m,female,Marrow,nan,Ccl3,-3.213230609893799,0.00013648989261128008,1.4717080375703517e-05,0.0007731082732789218,9.620361841837029e-14
27,droplet,3m,18m,female,Spleen,nan,Ctla4,3.191063642501831,2.35540437643067e-06,2.1511539671337232e-05,0.00011568034824449569,4.7449952936940046e-20
28,droplet,3m,18m,female,Marrow,nan,Fos,-3.1852355003356934,0.0011624894104897976,0.00012780197721440345,0.001287376624532044,0.0
29,droplet,3m,18m,female,Marrow,nan,Cpeb4,-3.1708717346191406,1.373167924612062e-05,1.5247404689944233e-06,5.178580613574013e-05,5.599199635991916e-14
30,droplet,3m,18m,female,Mammary_Gland,nan,Nrxn3,3.139702558517456,3.1337112886831164e-06,2.761873292911332e-05,0.00010554047184996307,5.331826501502329e-23
31,droplet,3m,18m,female,Marrow,nan,Dusp1,-3.128714084625244,0.00034462680923752487,3.940145325032063e-05,0.00047414141590707004,2.9188745977415853e-284
32,droplet,3m,18m,female,Mammary_Gland,nan,R3hdml,3.1126089096069336,7.001550329732709e-06,6.055958874640055e-05,0.00019744026940315962,4.835315469322138e-39
33,droplet,3m,18m,male,Kidney,nan,Dbp,-3.0972840785980225,9.855887037701905e-05,1.1516493941599037e-05,0.00019744837481994182,4.6802527331846735e-43
34,droplet,3m,18m,female,Mammary_Gland,nan,Krt6a,3.085430145263672,9.130432772508357e-06,7.74994186940603e-05,0.0003532437840476632,2.7600600326218013e-19
35,droplet,3m,18m,female,Mammary_Gland,nan,Slc5a5,3.079819440841675,8.921821063267998e-06,7.543477840954438e-05,0.00023502050316892564,4.793421875895309e-44
36,droplet,3m,18m,male,Kidney,nan,Gda,3.0346202850341797,5.706942829419859e-06,4.676439493778162e-05,0.00019128435815218836,5.58165022185567e-07
37,droplet,3m,18m,female,Mammary_Gland,nan,Enho,3.0297911167144775,7.286103482329054e-06,5.9504996897885576e-05,0.0001565050770295784,4.093856304043751e-58
38,droplet,3m,18m,female,Mammary_Gland,nan,Gpr3,3.025893211364746,1.4277118225436425e-06,1.1628546417341568e-05,6.049918010830879e-05,1.7205199913490446e-06
39,droplet,3m,18m,female,Mammary_Gland,nan,Btn1a1,2.9839413166046143,2.35125185099605e-06,1.860180782387033e-05,8.358888590009883e-05,2.765828638047385e-13
40,droplet,3m,18m,female,Mammary_Gland,nan,Mtmr7,2.9700841903686523,6.941816991457017e-06,5.439483356894925e-05,0.0001659703120822087,5.4690995902836485e-43
41,droplet,3m,18m,female,Heart_and_Aorta,nan,Rn45s,-2.9440553188323975,0.007828607223927975,0.0010172683978453279,0.012992856092751026,2.9094290010974995e-28
42,droplet,3m,18m,female,Marrow,nan,Jun,-2.9320950508117676,0.0006579243345186114,8.62039887579158e-05,0.0008840275695547462,1.1141330722168497e-298
43,droplet,3m,18m,female,Marrow,nan,Atf3,-2.923719644546509,2.6085135687026195e-05,3.437681925788638e-06,8.901703404262662e-05,1.6357357286213926e-27
44,droplet,3m,18m,female,Spleen,nan,Zbtb32,2.9202516078948975,2.267869831484859e-06,1.7167283658636734e-05,8.374809112865478e-05,1.8111380561622996e-17
45,droplet,3m,18m,female,Mammary_Gland,nan,Agtr1a,2.910166025161743,8.9109462351189e-06,6.698400829918683e-05,0.00017250071687158197,8.613088530059803e-61
46,droplet,3m,18m,female,Mammary_Gland,nan,Ltf,2.905087471008301,2.162312921427656e-05,0.00016197090735659003,0.000988117535598576,3.5594177959586112e-09
47,droplet,3m,18m,female,Mammary_Gland,nan,Slc12a2,2.883382797241211,5.627990685752593e-05,0.0004152771725784987,0.0010076073231175542,2.1435752786818837e-75
48,droplet,3m,18m,female,Mammary_Gland,nan,Lef1,-2.8655405044555664,4.950078437104821e-05,6.792010935896542e-06,0.0001361597387585789,3.1651256924949662e-62
49,droplet,3m,18m,female,Mammary_Gland,nan,Pet112l,2.843979835510254,4.929002443532227e-06,3.5390145058045164e-05,0.00012670367141254246,2.2426819158193927e-26
50,droplet,3m,18m,female,Mammary_Gland,nan,Fam38b,2.8390958309173584,4.029557203466538e-06,2.8834363547503017e-05,9.661098738433793e-05,7.781204455262047e-28
51,droplet,3m,18m,female,Mammary_Gland,nan,Ido1,2.8302555084228516,1.1954243746004067e-05,8.501860429532826e-05,0.00042448536260053515,1.7001717653930703e-14
52,droplet,3m,18m,female,Mammary_Gland,nan,Scnn1a,2.807163715362549,2.2196229565452086e-06,1.553530637465883e-05,5.498385144164786e-05,4.2244181055055846e-15
53,droplet,3m,18m,female,Mammary_Gland,nan,Pdk4,2.8038408756256104,8.915053513192106e-06,6.22535590082407e-05,0.00021259800996631384,1.3266221404761027e-33
54,droplet,3m,18m,female,Marrow,nan,Slc7a5,2.7949655055999756,3.5060743357462343e-06,2.4332663087989204e-05,7.702317088842392e-05,1.978855490807742e-26
55,droplet,3m,18m,female,Mammary_Gland,nan,Niacr1,2.7931509017944336,1.8503354795029736e-06,1.2825458725274075e-05,7.053611625451595e-05,4.994405764796087e-06
56,droplet,3m,18m,female,Mammary_Gland,nan,Proc,2.77443265914917,1.4779244565943372e-06,1.011206677503651e-05,4.526820339378901e-05,8.643773237579531e-06
57,droplet,3m,18m,female,Mammary_Gland,nan,Paqr6,2.7684545516967773,2.435335090922308e-06,1.6593832697253674e-05,6.506237696157768e-05,5.61051031947677e-14
58,droplet,3m,18m,female,Marrow,nan,Nfkbiz,-2.7618215084075928,5.857518044649623e-05,8.636195161670912e-06,0.00011970278865192086,4.2225233689483103e-91
59,droplet,3m,18m,female,Mammary_Gland,nan,Tmem56,2.7436277866363525,1.5500878362217918e-05,0.0001038175105350092,0.00026418769266456366,5.396010606217578e-62
60,droplet,3m,18m,female,Spleen,nan,Gm7609,2.7372474670410156,2.491085297151585e-06,1.6610485545243137e-05,6.701278471155092e-05,8.811927207071394e-20
61,droplet,3m,18m,female,Mammary_Gland,nan,Gzmm,2.7371182441711426,4.168498435319634e-06,2.77929339063121e-05,0.0001625990407774225,2.1296257080607808e-08
62,droplet,3m,18m,female,Spleen,nan,Lag3,2.7357447147369385,7.392380666715326e-06,4.924085806123912e-05,0.0002743897493928671,3.6016101929799966e-23
63,droplet,3m,18m,female,Spleen,nan,Actn2,-2.715623140335083,1.1735556654457469e-05,1.7865675090433797e-06,6.758989184163511e-05,8.658467658788856e-07
64,droplet,3m,18m,female,Spleen,nan,2610019F03Rik,-2.6856110095977783,1.2984233762836084e-05,2.0182117168587865e-06,6.387651228578761e-05,6.416478908511364e-10
65,droplet,3m,18m,female,Mammary_Gland,nan,Rbm20,2.673933267593384,2.6932752916764002e-06,1.7187589037348516e-05,7.710160571150482e-05,3.106610107139435e-11
66,droplet,3m,18m,female,Mammary_Gland,nan,Wnt4,2.673678398132324,1.135500588134164e-05,7.245107553899288e-05,0.0001884544617496431,1.9088960564703574e-56
67,droplet,3m,18m,female,Mammary_Gland,nan,Tspan8,2.6380953788757324,7.515474408137379e-06,4.678453478845768e-05,0.00018080770678352565,1.3405453888348357e-23
68,droplet,3m,18m,female,Marrow,nan,Cct6a,-2.636084794998169,2.580210093583446e-05,4.150633685640059e-06,5.7487970479996875e-05,4.811308992792645e-44
69,droplet,3m,18m,female,Heart_and_Aorta,nan,Bmpr2,-2.6301026344299316,4.5574815885629505e-05,7.361818461504299e-06,9.852711082203314e-05,1.5324319313099937e-11
70,droplet,3m,18m,male,Kidney,nan,Cyp2a4,2.6277098655700684,2.9309796445886604e-05,0.00018114750855602324,0.00045259748003445566,1.0149651107140384e-21
71,droplet,3m,18m,female,Mammary_Gland,nan,Rasef,2.6269495487213135,1.8579335119284224e-06,1.1476804502308369e-05,4.446541061042808e-05,2.7577124457779813e-08
72,droplet,3m,18m,female,Mammary_Gland,nan,Rai2,2.619574546813965,2.2495748908113455e-06,1.382519167236751e-05,6.81673627696e-05,1.3444745261974313e-07
73,droplet,3m,18m,female,Mammary_Gland,nan,Cntfr,2.6149563789367676,3.276609504609951e-06,2.007266812142916e-05,7.372952677542344e-05,2.3723610721645313e-17
74,droplet,3m,18m,female,Marrow,nan,Zfp36,-2.5970616340637207,0.00032042418024502695,5.295802839100361e-05,0.00038974839844740927,3.440535e-316
75,droplet,3m,18m,female,Heart_and_Aorta,nan,Hist1h1e,-2.5944833755493164,5.518281614058651e-05,9.136640073847957e-06,0.00012296320346649736,6.131567119638016e-11
76,droplet,3m,18m,female,Marrow,nan,Osm,-2.5878143310546875,5.1866696594515815e-05,8.627378520031925e-06,0.0001519651268608868,2.520997217551905e-46
77,droplet,3m,18m,female,Spleen,nan,Gpm6b,2.587669610977173,3.899112925864756e-06,2.3438620701199397e-05,0.0001453051809221506,1.5981690225662191e-13
78,droplet,3m,18m,female,Spleen,nan,Pdcd1,2.5543484687805176,2.6440720830578357e-06,1.5531339158769697e-05,0.00010873223072849214,8.35416087229929e-08
79,droplet,3m,18m,female,Heart_and_Aorta,nan,Plcb4,-2.5431885719299316,6.447733176173642e-05,1.1061931218137033e-05,0.00015459684072993696,3.846738199348596e-09
80,droplet,3m,18m,female,Marrow,nan,Ccdc88c,-2.5389840602874756,9.964581295207608e-06,1.7145434867416043e-06,3.880302028846927e-05,3.7950447499146864e-06
81,droplet,3m,18m,female,Mammary_Gland,nan,Clic6,2.528918981552124,3.53671043740178e-06,2.0411740479175933e-05,8.990581409307197e-05,1.2548858977664732e-12
82,droplet,3m,18m,female,Mammary_Gland,nan,Prlr,2.523653030395508,5.741355926147662e-05,0.0003301487595308572,0.0007781084277667105,9.871181675241848e-70
83,droplet,3m,18m,female,Marrow,nan,Ddx23,-2.5176286697387695,9.758414307725616e-06,1.7041085129676503e-06,3.4200747904833406e-05,2.969709279633233e-06
84,droplet,3m,18m,female,Mammary_Gland,nan,Slc7a2,2.5023796558380127,1.2912909369333647e-05,7.316704432014376e-05,0.00019801269809249789,1.220720474238614e-49
85,droplet,3m,18m,female,Mammary_Gland,nan,Nupr1,2.490039348602295,0.0001761014573276043,0.0009893262758851051,0.0025067084934562445,2.823202757483878e-62
86,droplet,3m,18m,female,Lung,nan,Rn45s,2.478494882583618,0.0006926285568624735,0.0038601281121373177,0.0068595330230891705,7.83730679585453e-65
87,droplet,3m,18m,female,Kidney,nan,Cyp2a4,2.4657561779022217,9.51794208958745e-06,5.257867815089412e-05,0.00021240016212686896,4.8520149646402706e-11
88,droplet,3m,18m,female,Marrow,nan,Lyst,-2.462118148803711,5.1601818995550275e-05,9.364693141833413e-06,9.500122541794553e-05,8.020562358132117e-89
89,droplet,3m,18m,female,Mammary_Gland,nan,Aqp5,2.4522275924682617,2.001066241064109e-05,0.00010951045260298997,0.00037515381700359285,6.679556441604719e-31
90,droplet,3m,18m,female,Heart_and_Aorta,nan,Cct6a,-2.4419472217559814,4.067850750288926e-05,7.486271442758152e-06,8.211733074858785e-05,8.549460520891055e-12
